Unnamed: 0,French,English
1,histoire,history
2,chercher,search
3,seulement,only
5,pensais,thought
6,aide,help
8,genre,kind
11,laisser,let
12,mettre,to put
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
27,place,square
30,savais,knew
32,attention,Warning
33,pourrais,could
34,donner,give
37,donné,given
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,dont,whose
44,premier,first
45,perdu,lost
47,première,first
48,côté,side
49,pouvoir,power
51,tiens,here
52,matin,morning
56,suite,after
57,devant,in front of
58,vers,towards
61,mis,placed
63,aimerais,would like to
65,mari,husband
66,cause,cause
69,attendez,Wait
71,nouvelle,new
75,terre,Earth
76,compte,account
78,loin,far
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
